1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Amit Dauwar, 2014, Pitot tube is used to measure velocity of Flow in pipes.
	Khan, 2014, Velocity of the flow at the required point in a pipe.
	Navid Ur Rehman, 2014, Is a pressure measurement instrument used to measure fluid flow velocity?
	Naresh, 2014, Definitely pitot tube and venturi meter are used to find the velocity of fluid in a pipe i.e. v=sqrt(2g(h1-h2)).
	Jay Mishra, 2014, Pilot tube used to find out velocity of flow by pressure.
	Deepak, 2014, Pitot tube measure the velocity of fluid flow in pipe and channel also.
	Sujan, 2015, Pitot tube is used to measure the velocity in pipe or channels.
	Czana Bt, 2015, It is used to measure the velocity of flow.
	Gandhi Battu, 2015, Pitot tube is provided to find the velocity at required point. And it also used for increase (or) decrease of velocity.
	Chozhapandiyan, 2015, Pitot tube is measure the velocity of flow.
	Sach, 2016, Pitot tube is used to measure the velocity of flow.
	Anil Gogineni, 2016, Pitot tube is used to measure the fluid flow velocity.
	Hailegebrailtegegn, 2016, Pitot tube is used to measure the velocity in the pipe and canal.
	Jay, 2016, Pitot-static tube is used to measure the fluid flow velocity. Pitot tube is used to measure pressure. So the answer is wrong.
	Sai, 2016, Pitot tube is used to measure the velocity of the fluid at that point only.
	Krishna, 2016, It is not a flow velocity. $%  $% Velocity at a given point or pressure difference can be measured by pitot tube.
	Vivek Singh, 2016, It is used to measure the velocity of flow liquid in a pipe.
	G.Mounika, 2016, Pitot tube is used to find out velocity at every point.
	Anil, 2017, It is used to measure pressure so the answer is wrong. $%  $% You are right @Jay.
	Mahesh Kumar Maurya, 2017, Pitot tube is used to mearure the velocity of flow.
	Kumar Shailendra, 2017, Pitot tube is used to measured the velocity of flow of liquid.
	Lakhwinder Singh Stc Dunera, 2017, According to Gupta and Gupta it is used to measure stagnation pressure.
	Rajani, 2017, Yeah, pitot tube is used to measure stagnation pressure and the pitot static tube measure Dynamic pressure according to Gupta and Gupta.
	Honey, 2017, Answer is correct, it is used to measure the velocity of flow on the basis of stagnation pressure.
	Muniraj, 2017, Answer C is currect because pitot tube measure stagnation pressure not only pressure. If in option stagnation pressure given then it. S prefer stagnation pressure.
	Roshan Jha, 2017, It is used to measure the velocity of flow on the basis of stagnation pressure.
	Praveen, 2017, Pitot tube is used to measure, $%  $% 1.Hydrostatic pressure $% 2. Dynamic pressure $% 3. Velocity $% 4. Stagnation pressure
	Sachin Singh, 2017, Pitot tube is used to measure the flow velocity of the fluid.
	Ram Krishan Sattwan, 2017, Velocity of flow is correct. I agree.
	Dinesh Kumar Manal, 2018, Pitot tubes used to measure stagnation pressure.
	Leslie Owusu, 2018, Pitot tube can be used for measuring the velocity head in pipes and in open channels.
	Aadarsh Devkate, 2018, Pitot tube is used to measure velocity head.
	Rohit Singh Baghel, 2018, Yes, pitot tube measured stagnation pressure while pitot-static tube measures both stagnation and static.
	Parag Warke, 2018, Pitot tube measured velocity in pipes and in open channels.
	Ahmad, 2018, Pitot tube measured velocity in pipes b/c it place like that it is opposite to flow liquid so if liquid is at high velocity so they up very high vice versa.
	Mayur, 2019, Pitot tube is used to measure stagnation pressure. $%  $% Pitot static tube is used to measure static pressure. $%  $% By taking a difference of static and stagnation pressure we get dynamic pressure. $%  $% By using Dynamic pressure we can find velocity of flow.
	Pranita Dc, 2020, A pitot tube, also known as pitot probe, is a flow measurement device used to measure fluid flow velocity. The pitot tube was invented by the French engineer Henri Pitot in the early 18th century and was modified to its modern form in the mid-19th century by French scientist Henry Darcy.
	Achumi Kits, 2020, Thanks all for explaining the answer.
	Mohd Zaid Sabir, 2020, A pitot tube is generally used for velocity of the flow.
	Avneesh, 2020, To measure the stagnation pressure.
	Ram Pramod Mahato, 2021, Velocity at stagnation point.
	Kavita Choudhary, 2021, Pitot tube - velocity of pipe. $% Hotwire anemometer - velocity of the gas. $% Current meter - velocity o0f open-chain flow. $% Venturimeter - rate of flow (discharge). $% Rotta meter - discharge. $% Orifice meter - discharge. $% Nozzle meter - discharge. $% Elbow/bend meter - discharge.
	Anujith, 2021, Pitot tube is a device used in the flowing fluid for measuring velocity.
	Vk99, 2021, Pitot tube measured point velocity.



1166. The thickness of a sharp crested weir is kept less than
	Navid, 2014, In a sharp-crested weir, the thickness of weir is kept less than half of the height of water on the weir.
	Sourav, 2017, 2L < H. $% L < H/2. $% = length of sharp - crested weir.
	Kamal Jamare, 2018, L=H&div;2. $%  $% Length of sharp, hight of water in the weir.
	Shyam Kumar, 2019, Please, explain it why?
	Roop Sudarshan Raju, 2020, In a sharp-crested weir, the thickness of the weir is kept less than half of the height of water on the weir. $%  $% B<H/2. $% B = thickness of the weir. $% H = height of water above the crest of the weir. $%  $% The Discharge equation for a sharp-crested weir remains the same as that of rectangular weir & rectangular notch.  $%  $% Q = 2/3 Cd X b Root of 2g X H2/3.
	Rudy, 2020, The thickness of a sharp-crested weir is generally much thinner such as in using a Plate.
	Kavita Choudhary, 2021, In a sharp-crested wear, the thickness of the wear should be less than half of the water of wear. $%  $% Q= 2/3CdL √2g h3/2.
	Kavita, 2021, The thickness of the shaft crested wear kept less than half of the height of the water on the wear B<H/2.



1167. The property of steam function ψ is :
	Makar, 2017, Steam function means? Explain in detail.
	Kasturi, 2017, Please explain the details.
	Prasad, 2018, Please give explanation.
	Akhila, 2018, It is a scalar function of space and time such that its partial derivative with respect to any direction gives the velocity component at right angles to this direction.
	Akash, 2018, The flow velocity components can be expressed as the derivatives of the scalar stream function. The stream function can be used to plot streamlines, which represent the trajectories of particles in a steady flow. The two-dimensional Lagrange stream function was introduced by Joseph Louis Lagrange in 1781.
	Soumya, 2020, What is the steam function?



1168. The maximum vacuum created at the summit of a syphon is
	Knreddy, 2015, Summit of syphon means what?
	Gopi, 2015, It is the highest point hill is called summit syphon is bend pipe. It is flowing of water to higher elevation to lower elevation.
	Pratik, 2015, The answer should be A because vapour pressure head of water is 2.7 m of water.
	Md Sharique, 2015, It is the highest point hill is called summit syphon is bend pipe. It is flowing of water to higher elevation to lower elevation.
	Ravi, 2016, @Pratik. $%  $% Your answer will satisfy the Condition of cavities. B answer is right.
	Krishna, 2016, I think 7.6 m of water.
	Pravin Kamble, 2016, According to me, 2.7 is the correct answer.
	Suryan, 2016, It should be 7.8m water.
	Vivek, 2017, It should be less than 7.8 because if it goes above 7.8 dissolved gases in the liquid will come out and accumulated at a summit and will stop flow of water.
	Abhishek Anand, 2017, The pressure at summit point will be less than the atmospheric pressure . Theoretically, the pressure at summit may be reduced to 10.3 m of water but in actual practice, this pressure is only 7.6 m of water or 10.3-7.6= 2.7m of water absolute. if the pressure at summit become less than 2.1m of water absolute, the dissolved air and other gases would come out from water and collect at the summit.the flow of water will be obstructed.
	Iwansh, 2017, 10.3m of H2O = 76Cm of hg. $% 1 m of H2O = 7.378. $% So the answer is B.
	Syam, 2017, Here it is 7.4m of Vaccum pressure and 2.5m of absolute pressure for water.
	Sunny, 2018, 10.3m of H2O = 76Cm of hg. $% 1 m of H2O = 7.378. $%  $% So, the answer is B.
	Anju Singh Patel, 2018, 1mof h2o 76/10.3 = 7.4.
	Pratik, 2018, It is 2.3 to 2.7.
	Archana, 2018, It is -7.6 or 10.3 - 7.6 = 2.7m of water.
	Vivek Bahra, 2018, For water absolute = 2.5. $% For water vacuum = 7.8. $% Here it is asked for vacuum. Hence the answer is 7.8.
	Raz, 2019, 7.4m is 100% correct.
	Chandan, 2019, It is also less then the atmospheric pressure.
	Sagar Shingne, 2019, Absolute 2.5. $% Vacuum 7.8.
	Soumya, 2020, How to calculate maximum vacuum height?
